name,address,city,country,province,latitude,longitude,categories,price_range_min,price_range_max
M Pizza,3881 Wilshire Blvd,Los Angeles,US,California,34.061758,-118.311442,Traditional Pizza Place,25,40
Matthews Pizza,3131 Eastern Ave,Baltimore,US,Maryland,39.286423,-76.571858,Restaurant and Pizza Place,0,25
Hoboken Pizza Beer Joint,1459 Garnet Ave,San Diego,US,California,32.799111,-117.243229,Others,0,25
Joe Peeps Pizza,12460 Magnolia Blvd,Valley Village,US,California,34.164589,-118.40492,Traditional Pizza Place,0,25
Stromboli Pizza,83 Saint Marks Pl,New York,US,New York,40.727691,-73.985305,Italian Restaurant,0,25
Ignazios Pizza,4 Water St,Brooklyn,US,New York,40.703299,-73.994029,Restaurant and Pizza Place,0,25
Stuft Pizza Brewing,24821 Del Prado,Dana Point,US,California,33.46645,-117.697557,Restaurant and Pizza Place,0,25
Elliott Bay Pizza Company,2115 Queen Anne Ave N,Seattle,US,Washington,47.637695,-122.35707,Traditional Pizza Place,0,25
DaVincis Pizza,118 Long Beach Rd,Island Park,US,New York,40.600986,-73.65617,Traditional Pizza Place,0,25
Captain Tonys Pizza And Pasta Emporium,2217 N Park Dr,Winslow,US,Arizona,35.042469,-110.698305,Restaurant and Pizza Place,0,25
Illiano Pizza Restaurant,157 Byberry Rd,Philadelphia,US,Pennsylvania,40.128911,-75.023785,Restaurant and Pizza Place,0,25
Antonio's Pizza House,678 W Chestnut St,Lancaster,US,Pennsylvania,40.0395,-76.3208,Italian Restaurant,0,25
Fort Ball Pizza Palace,91 N Washington St,Tiffin,US,Ohio,41.1204,-83.1775,Restaurant and Pizza Place,0,25
Sam & Louie's Pizzeria,1313 W 3rd St,Alliance,US,Nebraska,42.0968,-102.89,Italian Restaurant,0,25
Spankys Pizza Bar,4659 Telephone Rd,Houston,US,Texas,29.694913,-95.299597,Traditional Pizza Place,0,25
Gina Marias Pizzaria,1525 N Placentia Ave Unit C-D,Placentia,US,California,33.891359,-117.874259,Traditional Pizza Place,0,25
Bill Bobes Pizzeria,1651 N 6th St,Vincennes,US,Indiana,38.68512,-87.5134,Restaurant and Pizza Place,0,25
Wedgewood Pizza,1622 S Raccoon Rd,Youngstown,US,Ohio,41.084422,-80.732694,Restaurant and Pizza Place,0,25
Headys Pizzeria,4120 N 1st Ave,Evansville,US,Indiana,38.016596,-87.575043,Traditional Pizza Place,0,25
Alfredos,2900 W Chester Pike,Broomall,US,Pennsylvania,39.983113,-75.37139,Traditional Pizza Place,0,25
Milanos Pizza,343 NC Highway 68 S,Greensboro,US,North Carolina,36.066575,-79.959581,Traditional Pizza Place,0,25
Yunique Pizza,1617 John F Kennedy Blvd,Philadelphia,US,Pennsylvania,39.953912,-75.166949,Traditional Pizza Place,0,25
Mama Me Pizzeria,18219 Dixie Hwy,Homewood,US,Illinois,41.558199,-87.665282,Traditional Pizza Place,0,25
Pagonis Pizza Kaukauna,320 E Ann St,Kaukauna,US,Wisconsin,44.259721,-88.271117,Restaurant and Pizza Place,0,25
Grand Central Pizza,245 Hwy 101,Waldport,US,Oregon,44.424628,-124.06827,Restaurant and Pizza Place,0,25
New York Pizzeria,3067 Roosevelt St,Carlsbad,US,California,33.159453,-117.347199,Restaurant and Pizza Place,0,25
Glenside Pizza,274 N Keswick Ave,Glenside,US,Pennsylvania,40.105793,-75.146882,Restaurant and Pizza Place,0,25
Mamas Pizza IV,1704 Susquehanna Rd,Dresher,US,Pennsylvania,40.142074,-75.16824,Restaurant and Pizza Place,0,25
Guss Pizza Grill,1928 Pulaski Hwy,Edgewood,US,Maryland,39.435362,-76.316397,Traditional Pizza Place,0,25
Fellini's Pizza,909 Ponce De Leon Ave Ne,Atlanta,US,Georgia,33.773654,-84.357596,Restaurant and Pizza Place,0,25
Luckys Pizza,12455 W Bell Rd.,Surprise,US,Arizona,33.640448,-112.394528,Traditional Pizza Place,0,25
My New York Pizza,841 North Tarrant Pkwy,Keller,US,Texas,32.896894,-97.243219,Traditional Pizza Place,0,25
Sals Sicilian Pizza,2520 George Washington Memorial Hwy,Hayes,US,Virginia,37.278513,-76.502286,Italian Restaurant,0,25
Santinos,368 Gulf Breeze Pkwy,Gulf Breeze,US,Florida,30.36607,-87.171229,Traditional Pizza Place,0,25
Father And Son Pizzeria,50770 Gratiot Ave,New Baltimore,US,Michigan,42.672687,-82.832527,Restaurant and Pizza Place,0,25
Cosmos Pizzeria,110 Corolla Light Town Center,Corolla,US,North Carolina,36.373501,-75.82795,Traditional Pizza Place,0,25
Papa Johns Pizza,2921 James St,Syracuse,US,New York,43.06925,-76.105771,Restaurant and Pizza Place,0,25
Janos,732 Burmont Rd,Drexel Hill,US,Pennsylvania,39.949899,-75.308742,Traditional Pizza Place,0,25
JJs New York Pizzeria,6081 New York 96,Farmington,US,New York,42.973821,-77.355287,Traditional Pizza Place,0,25
Marios Pizza,960 S College Ave,Newark,US,Delaware,39.652432,-75.749496,Traditional Pizza Place,0,25
Ny Pizza and Pasta,624 waxhaw indian trail,Indian Trail,US,North Carolina,35.068876,-80.678973,Traditional Pizza Place,0,25
Brickhouse Sauce Dough Co,107 N Buxton St,Indianola,US,Iowa,41.360583,-93.562353,Clubs,0,25
Rooftop Pizza,60 E San Francisco St,Santa Fe,US,New Mexico,35.6865,-105.939325,Traditional Pizza Place,0,25
Grandads Pizza,1254 W 3rd Ave,Columbus,US,Ohio,39.984888,-83.039122,Restaurant and Pizza Place,0,25
Rocky Rococo,7600 W Capitol Dr,Milwaukee,US,Wisconsin,43.090434,-88.008929,Restaurant and Pizza Place,0,25
Brothers Pizza,10720 W Indian School Rd,Phoenix,US,Arizona,33.495299,-112.290831,Restaurant and Pizza Place,0,25
Mangia Bevi Cafe,6363 S Fiddlers Green Cir,Englewood,US,Colorado,39.601442,-104.892459,Italian Restaurant,0,25
Richards Brick Oven Pizza,545 E King St,Franklin,US,Indiana,39.478095,-86.055032,Traditional Pizza Place,0,25
Cafe Rustico II,35 W 35th St,New York,US,New York,40.749732,-73.985453,Traditional Pizza Place,0,25
Antonino Bertolos Pizza,200 N Main St,Greenville,US,South Carolina,34.852667,-82.397959,Others,0,25
Flippin Pizza,2440 S Melrose Dr,Vista,US,California,33.141834,-117.24262,Restaurant and Pizza Place,0,25
Joe Johns Pizza,5910 Myrtle Ave,Ridgewood,US,New York,40.700502,-73.899411,Traditional Pizza Place,0,25
Brooklyn Boys Italian Restaurant,20800 N John Wayne Pkwy Ste 118,Maricopa,US,Arizona,33.068796,-112.047192,Traditional Pizza Place,0,25
Pizzaiolo Cafe on Fern,1623 Fern St,Alexandria,US,Virginia,38.829547,-77.084477,American Restaurant,25,40
Olympia Pizza and Spaghetti House,1500 Queen Anne Ave N,Seattle,US,Washington,47.63292,-122.3566,Restaurant and Pizza Place,1,26
Wolfman Pizza,106 S Sharon Amity Rd,Charlotte,US,North Carolina,35.176051,-80.799612,Restaurant and Pizza Place,0,25
Topanga Pizza and Cafe,22994 Ventura Blvd,Woodland Hills,US,California,34.164745,-118.626702,Italian Restaurant,0,25
Beggars Pizza,11329 W 143rd St,Orland Park,US,Illinois,41.629352,-87.896028,Restaurant and Pizza Place,0,25
Pizza Prince,86 Nassau Ave,Brooklyn,US,New York,40.723899,-73.95053,Restaurant and Pizza Place,0,25
Brooklyn Pie Co,8127 Mesa Dr Ste B202,Austin,US,Texas,30.372875,-97.755813,Traditional Pizza Place,0,25
Ascona Pizza Company,3414 Camino Tassajara,Danville,US,California,37.798517,-121.919752,Traditional Pizza Place,0,25
Conans Pizza South,2018 W Stassney Ln,Austin,US,Texas,30.216245,-97.798303,Restaurant and Pizza Place,25,40
Kouzina Christos,1433 Terrel Mill Rd,Marietta,US,Georgia,33.91637,-84.467208,Restaurant and Pizza Place,25,40
Goodys,3125 Wilson Blvd,Arlington,US,Virginia,38.887211,-77.095515,Restaurant and Pizza Place,0,25
Marion's Piazza,3443 N Dixie Dr,Dayton,US,Ohio,39.7972,-84.1938,Restaurant and Pizza Place,0,25
Teddys Pizza,5820 E Wt Harris Blvd,Charlotte,US,North Carolina,35.2357,-80.7352,Restaurant and Pizza Place,0,25
Mama's Pizza,305 Market St,Harrisburg,US,Pennsylvania,40.2609,-76.8805,Italian Restaurant,0,25
Mario's Pizza,7700 Crittenden St,Philadelphia,US,Pennsylvania,40.072,-75.1929,Restaurant and Pizza Place,0,25
Vincenzo's Pizza,5909 Big Tree Rd,Lakeville,US,New York,42.8348,-77.6983,Italian Restaurant,0,25
Roma Pizza,53 Merrick Ave,Merrick,US,New York,40.6652,-73.5531,Restaurant and Pizza Place,0,25
Pj's Pizza,571 W Cherry St,Sunbury,US,Ohio,40.2494,-82.8712,Restaurant and Pizza Place,0,25
Ricky's NY Pizza,5279 N Roxboro Rd,Durham,US,North Carolina,36.0765,-78.9112,Restaurant and Pizza Place,0,25
Jets Pizza,1607 Montford Dr,Charlotte,US,North Carolina,35.171,-80.8494,Restaurant and Pizza Place,0,25
Skinny Pizza,211 Mineola Ave,Roslyn Heights,US,New York,40.7859,-73.649,Restaurant and Pizza Place,0,25
Pat's Pizzeria,1149 W Chester Pike,West Chester,US,Pennsylvania,39.9697,-75.5671,Restaurant and Pizza Place,0,25
Frankie Tocco's Pizzeria,108 S Main St,Saint Charles,US,Missouri,38.7808,-90.4813,Italian Restaurant,0,25
Roc-a-Fellas,11055 Reading Rd,Cincinnati,US,Ohio,39.2694,-84.4134,Restaurant and Pizza Place,0,25
Franco's Pizza,1924 Eggert Rd,Buffalo,US,New York,42.9771,-78.8141,Restaurant and Pizza Place,0,25
Peppino's,1849 Grant Blvd,Syracuse,US,New York,43.072,-76.1411,Restaurant and Pizza Place,0,25
Original Mama's Pizza,1814 State Hill Rd,Reading,US,Pennsylvania,40.3385,-75.9742,Restaurant and Pizza Place,0,25
Pie In The Sky Pizza,320 S Tryon St,Charlotte,US,North Carolina,35.2257,-80.8464,Restaurant and Pizza Place,0,25
Intermezzo,1427 E 10th St,Charlotte,US,North Carolina,35.2221,-80.8216,Restaurant and Pizza Place,25,40
Papa John's Pizza,8016 Cambridge Commons Dr Ste B,Charlotte,US,North Carolina,35.2524,-80.6575,Others,0,25
Papa John's Pizza,709 W 3rd St,Jamestown,US,New York,42.0936,-79.2553,Restaurant and Pizza Place,0,25
Mark's Pizzeria,1465 Jefferson Rd,Rochester,US,New York,43.0971,-77.5789,Restaurant and Pizza Place,0,25
Numero 28 Pizza,1431 1st Ave,New York,US,New York,40.769293,-73.954966,Italian Restaurant,25,40
Mr Mikes Pub Pizza,9371 State Route 30,Irwin,US,Pennsylvania,40.32312,-79.697851,Traditional Pizza Place,0,25
Spinellis Pizzeria,4005 Shelbyville Rd,Louisville,US,Kentucky,38.252732,-85.652416,Restaurant and Pizza Place,0,25
North End Pizzeria,11628 Santa Monica Blvd,Los Angeles,US,California,34.043934,-118.454518,Italian Restaurant,0,25
Guidos Premium Pizza,1754 Central Park Dr,Okemos,US,Michigan,42.727718,-84.410402,Restaurant and Pizza Place,0,25
NYPD New York Pizza Depot,605 E William St,Ann Arbor,US,Michigan,42.277918,-83.741812,Traditional Pizza Place,0,25
Pub Dog Pizza Drafthouse,20 E Cross St,Baltimore,US,Maryland,39.276985,-76.613502,Others,25,40
Candelaris Pizzeria,6002 Washington Ave,Houston,US,Texas,29.770742,-95.417685,Restaurant and Pizza Place,25,40
Apezza Pizza,10122 Brooks School Rd,Fishers,US,Indiana,39.935409,-85.948325,Traditional Pizza Place,0,25
Angelos Pizzeria Ristorante II,2492 N Essex Ave,Hernando,US,Florida,28.899524,-82.434444,Traditional Pizza Place,0,25
DAnnas Pizzeria Restaurant,1743 Hempstead Tpke,Elmont,US,New York,40.704703,-73.704764,Traditional Pizza Place,0,25
Valentinos Pizza,513 N Tustin St,Orange,US,California,33.795467,-117.835202,Restaurant and Pizza Place,0,25
Memphis Pizza Cafe,5627 Getwell Rd,Southaven,US,Mississippi,34.942921,-89.937269,Others,0,25
Sovrana Pizza And Deli,63 N Lake Ave,Albany,US,New York,42.662894,-73.772288,Traditional Pizza Place,0,25
Petes Pizza,53rd and Haverford,Philadelphia,US,Pennsylvania,39.964745,-75.224059,Traditional Pizza Place,0,25
Two Cousins Pizza,32 Erford Rd,Camp Hill,US,Pennsylvania,40.256527,-76.915238,Traditional Pizza Place,0,25
Ghiringhellis Pizzeria,45 Broadway Blvd,Fairfax,US,California,37.98692,-122.589264,Restaurant and Pizza Place,0,25
Casa DMama Pizzaria,7406B Little River Tpke,Annandale,US,Virginia,38.83217,-77.199933,Italian Restaurant,0,25
Ricos Pizza,2162 Grand Central Ave,Horseheads,US,New York,42.156752,-76.821081,Traditional Pizza Place,0,25
Pies and Pints Pizzeria,222 Capitol St,Charleston,US,West Virginia,38.350354,-81.634295,Restaurant and Pizza Place,25,40
Roccos Pizza Restaurant,605 N Pottstown Pike,Exton,US,Pennsylvania,40.050748,-75.636013,Traditional Pizza Place,0,25
Saporita Pizza,27 Smith St,Brooklyn,US,New York,40.690609,-73.98788,Restaurant and Pizza Place,0,25
Abbys Pizza,3033 Santiam Hwy SE,Albany,US,Oregon,44.631099,-123.067543,Traditional Pizza Place,0,25
Crust Pizzeria,4703 SW 16th Pl,Cape Coral,US,Florida,26.564562,-82.00746,Restaurant and Pizza Place,0,25
Fun House Pizza Pub,13002 U.S. 40,Independence,US,Missouri,39.03747,-94.426209,Traditional Pizza Place,0,25
Brandon Pizzeria,140 N Parsons Ave,Brandon,US,Florida,27.938904,-82.285922,Restaurant and Pizza Place,0,25
Bella Bambinas Restaurant,4532 Sunrise Highway,Oakdale,US,New York,40.752917,-73.118039,Italian Restaurant,0,25
Pizza Inn,1051 Murfreesboro Rd,Lebanon,US,Tennessee,36.174562,-86.301968,Traditional Pizza Place,0,25
Rosatis Pizza,1985 Marketview Dr,Yorkville,US,Illinois,41.666192,-88.44088,Italian Restaurant,0,25
Papa Johns Pizza,106 E Green St,Champaign,US,Illinois,40.110357,-88.238016,Restaurant and Pizza Place,0,25
Danos Giant Manhattan Pizza,9844 Katella Ave,Anaheim,US,California,33.801996,-117.961178,Traditional Pizza Place,0,25
Zitas Pizzeria,2221 Transcontinental Dr,Metairie,US,Louisiana,29.995508,-90.192205,Traditional Pizza Place,0,25
Mezza Luna Pizzeria Restaurant,1151 Route 22,Brewster,US,New York,41.420408,-73.578332,Italian Restaurant,0,25
Chuck Celsis Tavern Restaurant,205 5th St,West Des Moines,US,Iowa,41.571417,-93.708752,Traditional Pizza Place,0,25
Il Giardino,909 N Bethlehem Pike,Ambler,US,Pennsylvania,40.181557,-75.227201,Traditional Pizza Place,0,25
Credos PizzaRibs Beer,150 Western Blvd,Jacksonville,US,North Carolina,34.748152,-77.379309,Traditional Pizza Place,0,25
Impellizzeris Pizza,4933 Brownsboro Rd,Louisville,US,Kentucky,38.281974,-85.631963,Restaurant and Pizza Place,0,25
Lennys Pizzeria,16402 Crossbay Blvd,Howard Beach,US,New York,40.650648,-73.838035,Restaurant and Pizza Place,0,25
Francos Pizza,2308 Niagara Falls Blvd,Tonawanda,US,New York,43.017091,-78.82263,Restaurant and Pizza Place,0,25
Milanos Pizza,2 Brookstone Plz,Morgantown,US,West Virginia,39.628133,-79.933048,American Restaurant,0,25
Salvatores Tomato Pies,912 E Johnson St,Madison,US,Wisconsin,43.084714,-89.37597,Others,0,25
Mama's Pizza,15615 Pacific St,Omaha,US,Nebraska,41.2480352,-96.15838176,American Restaurant,25,40
Pizza Street,6111 Mid Rivers Mall Dr,Saint Charles,US,Missouri,38.7465,-90.6349,Italian Restaurant,0,25
Fazio's Pizza,4028 Penn Ave,Pittsburgh,US,Pennsylvania,40.4653,-79.9568,Restaurant and Pizza Place,0,25
Italian Delight,940 Montgomery Ave,Narberth,US,Pennsylvania,40.0118,-75.2617,Restaurant and Pizza Place,0,25
Mr P Pizza & Pasta Inc,7138 Ridge Ave,Philadelphia,US,Pennsylvania,40.0454,-75.2324,Restaurant and Pizza Place,0,25
Carlo's Pizza,7001 N Route 309,Coopersburg,US,Pennsylvania,40.5167,-75.3864,Italian Restaurant,0,25
Pizzaz Pizza Inc,1916 South Ave,Syracuse,US,New York,43.0189,-76.1611,Restaurant and Pizza Place,0,25
Slices Pizza,4249 Ridge Ave,Philadelphia,US,Pennsylvania,40.0096,-75.1955,Restaurant and Pizza Place,0,25
Benny Fierros,1906 E Carson St,Pittsburgh,US,Pennsylvania,40.4286,-79.9791,Restaurant and Pizza Place,0,25
Monte Carlo Pizza,145 S Cameron St,Harrisburg,US,Pennsylvania,40.2626,-76.8733,Restaurant and Pizza Place,0,25
Marks Pizzeria,6181 Mckee St,Newfane,US,New York,43.276,-78.6983,Restaurant and Pizza Place,0,25
Fuel Pizza,402 S Main St,Davidson,US,North Carolina,35.4963,-80.8525,Restaurant and Pizza Place,25,40
Zpizza,421 Fayetteville St,Raleigh,US,North Carolina,35.7644,-78.6436,Restaurant and Pizza Place,0,25
Roman Delight,492 2nd Street Pike,Southampton,US,Pennsylvania,40.169749,-75.046258,Restaurant and Pizza Place,0,25
Avicollis Pizzeria and Restaurant,170 Fall St,Seneca Falls,US,New York,42.910727,-76.802351,Traditional Pizza Place,0,25
Mogios Gourmet Pizza,158 W FM 544,Plano,US,Texas,33.011399,-96.616538,Restaurant and Pizza Place,0,30
Pizza Man,3442 Denmark Ave,Saint Paul,US,Minnesota,44.830117,-93.1596,American Restaurant,0,25
Plaza Pizza Restaurant,337 Spring Garden St,Philadelphia,US,Pennsylvania,39.9613,-75.1446,Italian Restaurant,0,25
North Italia,1700 Post Oak Blvd Ste 190,Houston,US,Texas,29.748548,-95.462154,Italian Restaurant,25,40
Rosario's Pizzeria,1803 Welsh Bush Rd,Utica,US,New York,43.0811,-75.2064,Restaurant and Pizza Place,0,25
Mt Gretna Pizzeria,117 Timber Rd,Mount Gretna,US,Pennsylvania,40.249,-76.4709,Restaurant and Pizza Place,0,25
Picasso Pizza,7150 Hamilton Blvd,Trexlertown,US,Pennsylvania,40.549,-75.5979,Restaurant and Pizza Place,0,25
Pizza Cottage,23401 US 23,Circleville,US,Ohio,39.5888,-82.9546,Restaurant and Pizza Place,0,25
Tony's Pizza & Restaurant,161 Clarke St,Brentwood,US,New York,40.7993,-73.2488,American Restaurant,0,25
Marion's Piazza,8991 Kingsridge Dr,Dayton,US,Ohio,39.6304,-84.2246,Restaurant and Pizza Place,25,40
Formaggio,20 E 13th Ave,Columbus,US,Ohio,39.998,-83.0069,Restaurant and Pizza Place,0,25
Frankie's East Side Pizza,313 Main St,Farmingdale,US,New York,40.7323,-73.4457,Italian Restaurant,0,25
Angela's Pizza,1923 Ulster Ave,Lake Katrine,US,New York,41.9878,-73.988,Restaurant and Pizza Place,0,25
Primo Pizza,2810 Raeford Rd,Fayetteville,US,North Carolina,35.0455,-78.9257,Restaurant and Pizza Place,0,25
Cherrywood Pizza,1919 Wantagh Ave,Wantagh,US,New York,40.6741,-73.51,Restaurant and Pizza Place,0,25
Perris Pizzeria,524 Stone Rd,Rochester,US,New York,43.223571,-77.641189,Italian Restaurant,0,25
Gondola House,4613 Lebanon Pike,Hermitage,US,Tennessee,36.214765,-86.596571,Italian Restaurant,25,40
Gino Brothers Pizzeria,1714 Main St,Pittsburgh,US,Pennsylvania,40.494767,-79.92264,Restaurant and Pizza Place,0,25
Rotelli,11401 NW 12th St,Miami,US,Florida,25.78699,-80.380866,Italian Restaurant,25,40
Paul Reveres,193 Shadeland Ave,Lansdowne,US,Pennsylvania,39.94001,-75.287924,Traditional Pizza Place,0,25
Dare Devil's Pizzeria,1112 S Virginia Dare Trl,Kill Devil Hills,US,North Carolina,36.0059,-75.653,American Restaurant,0,25
Pizza Aroma,128 S Cayuga St,Ithaca,US,New York,42.4389,-76.4993,Italian Restaurant,0,25
Satellite Pizza,799 Montauk Hwy,Bayport,US,New York,40.7472,-73.052,Restaurant and Pizza Place,0,25
Cc's Pizza,75 Main St,Quentin,US,Pennsylvania,40.2803,-76.4427,Restaurant and Pizza Place,0,25
Pomodoro's Pizza,253 E Broad St,Bethlehem,US,Pennsylvania,40.6223,-75.3712,Restaurant and Pizza Place,0,25
Mrs Ts Pizza Pub,4246 Main St,Downers Grove,US,Illinois,41.809399,-88.011489,Traditional Pizza Place,0,25
Caliente Pizza Hampton,4706 William Flynn Hwy,Allison Park,US,Pennsylvania,40.593927,-79.947031,Others,0,25
Via Roma,1764 Merrick Ave,Merrick,US,New York,40.6751,-73.5574,Restaurant and Pizza Place,0,25
Westgate Pizza,911 Central Ave,Albany,US,New York,42.6815,-73.7917,Restaurant and Pizza Place,0,25
D'andrea Pizza,33 Caroline St,Saratoga Springs,US,New York,43.082,-73.7833,American Restaurant,0,25
Baker's Pizza Sports Shack,224 N Sandusky Ave,Bucyrus,US,Ohio,40.8102,-82.9755,Restaurant and Pizza Place,25,40
Guys Pizza,146 S Water St,Kent,US,Ohio,41.153,-81.3584,Restaurant and Pizza Place,0,25
Dor Lo Pizza,1211 Orange Rd,Ashland,US,Ohio,40.8786,-82.3124,Restaurant and Pizza Place,0,25
Papa John's Pizza,1112 Yadkinville Rd,Mocksville,US,North Carolina,35.9121,-80.581,Others,0,25
Brixx Wood Fired Pizza,1022 Boston Dr,Burlington,US,North Carolina,36.0705,-79.5087,Restaurant and Pizza Place,25,40
Pizza Bono,93 Margaret St,Plattsburgh,US,New York,44.6978,-73.4529,Restaurant and Pizza Place,0,25
Pizza Land,19 Park Pl,Avon,US,New York,42.9112,-77.7458,Restaurant and Pizza Place,0,25
Franco's Pizza,600 Delaware St,Tonawanda,US,New York,43.0031,-78.8751,Restaurant and Pizza Place,0,25
Pizza Inn,1425 W Battlefield St,Springfield,US,Missouri,37.1605,-93.3116,Restaurant and Pizza Place,0,25
Anthony's Coal Fired Pizza,100 Welsh Rd,Horsham,US,Pennsylvania,40.1573,-75.1435,Restaurant and Pizza Place,25,40
Papa John's Pizza,3236 N Rock Rd Ste 120,Wichita,US,Kansas,37.741,-97.244,Restaurant and Pizza Place,0,25
Pablo's Pizza,2720 Council Tree Ave,Fort Collins,US,Colorado,40.5257,-105.0256,Restaurant and Pizza Place,0,25
Eat Pizza,2037 SW Morrison St,Portland,US,Oregon,45.5231,-122.693,American Restaurant,0,25
Black Bird Pizza,1935 SE Hawthorne Blvd,Portland,US,Oregon,45.5123,-122.6462,Restaurant and Pizza Place,0,25
The Rock Wood Fired Kitchen,2295 NW Allie Ave,Hillsboro,US,Oregon,45.5369,-122.8769,Restaurant and Pizza Place,25,40
Pizza Rock,2300 Paseo Verde Pkwy,Henderson,US,Nevada,36.019961,-115.089392,Restaurant and Pizza Place,0,25
Pie Five Pizza Co,3306 W Touhy Ave,Skokie,US,Illinois,42.012876,-87.71204,Restaurant and Pizza Place,0,25
Bella Pizzeria,1450 Clay Terrace Blvd.,Carmel,US,Indiana,39.998894,-86.130104,Traditional Pizza Place,0,25
Brothers Pizza,2002 N Interstate 35E,Carrollton,US,Texas,32.969013,-96.918969,Restaurant and Pizza Place,0,25
Picnic Pizza,2898 Westington Rd,Horseheads,US,New York,42.176444,-76.836292,Traditional Pizza Place,0,25
Georgios Pizza,843 West Market St.,Akron,US,Ohio,41.097024,-81.543924,Traditional Pizza Place,0,25
Chichos,2820 Pacific Ave,Virginia Beach,US,Virginia,36.85689,-75.979065,Traditional Pizza Place,0,25
Amatos Pizza More,3150 N Aurora Rd,Aurora,US,Illinois,41.782082,-88.238535,Traditional Pizza Place,0,25
Papa Johns Pizza,105 W Carson St,Carson,US,California,33.832072,-118.278728,Traditional Pizza Place,0,25
Mancinos Pizza Grinders,1791 Columbia Ave W,Battle Creek,US,Michigan,42.2968,-85.234726,Restaurant and Pizza Place,0,25
Maldonados Pizzeria,615 S Rengstorff Ave,Mountain View,US,California,37.396412,-122.100992,Traditional Pizza Place,25,40
Jacaranda Pizza,8283 W Broward Blvd,Fort Lauderdale,US,Florida,26.121225,-80.260242,Italian Restaurant,25,40
Pitfire Pizza,12924 Washington Blvd,Los Angeles,US,California,33.994877,-118.438688,Traditional Pizza Place,25,40
Jerseys Pizza,985 Kendall Dr,San Bernardino,US,California,34.163496,-117.306169,Traditional Pizza Place,0,25
Pegasus Pizza,790 E 14th Ave,Eugene,US,Oregon,44.044263,-123.080845,Italian Restaurant,25,40
Baba Louies Pizza,517 Warren St,Hudson,US,New York,42.24917,-73.786089,American Restaurant,25,40
the pizza factory,725 W 1700 S,Syracuse,US,Utah,41.088884,-112.039736,Restaurant and Pizza Place,0,25
Saints Bar,131 Breckenridge Ln,Louisville,US,Kentucky,38.252023,-85.654421,Clubs,25,40
Spris,731 Lincoln Rd,Miami Beach,US,Florida,25.790641,-80.136136,Italian Restaurant,25,40
Papa Murphys,4010 NE Fremont St,Portland,US,Oregon,45.548224,-122.621543,Traditional Pizza Place,0,25
Fascati Pizza,80 Henry St,Brooklyn,US,New York,40.698355,-73.992522,Restaurant and Pizza Place,0,25
Famous Original Rays Pizza,811 Lexington Ave,New York,US,New York,40.764347,-73.96657,Italian Restaurant,0,25
Stelladoro Pizza,808 Divisadero St,San Francisco,US,California,37.777128,-122.438272,American Restaurant,0,25
Pinos La Forchetta,181 7th Ave,Brooklyn,US,New York,40.671422,-73.977831,Others,0,25
Mamas Bakery Pizza Salad Bar,800 Nicollet Mall,Minneapolis,US,Minnesota,44.975731,-93.273408,Restaurant and Pizza Place,0,25
Little Italy Pizza,2 E 33rd St,New York,US,New York,40.747689,-73.984883,Italian Restaurant,0,25
Fiores Pizza,165 Bleecker St,New York,US,New York,40.728772,-74.000196,Restaurant and Pizza Place,0,25
Baronis New York Pizza,1975 Magwood Dr,Charleston,US,South Carolina,32.813331,-80.041824,Traditional Pizza Place,0,25
Champs Pizza,1336 Bristol Pike Ste A5,Bensalem,US,Pennsylvania,40.07436,-74.967444,Traditional Pizza Place,0,25
Studio Pizza,426 Quincy St,Hancock,US,Michigan,47.126433,-88.586363,Restaurant and Pizza Place,0,25
Crust Stone Oven Pizza,2561 53rd Ave,Bettendorf,US,Iowa,41.574694,-90.496681,Clubs,50,55
Westshore,1346 Tampa Rd,Palm Harbor,US,Florida,28.06737,-82.76313,Traditional Pizza Place,0,25
Gigios Pizzeria,1603 E Oakton St,Des Plaines,US,Illinois,42.024142,-87.884326,Traditional Pizza Place,0,25
Little Caesars,1800 Western Ave,Guilderland,US,New York,42.689863,-73.865641,Restaurant and Pizza Place,0,25
Brothers Pizza,485 Baltimore Pike,Glen Mills,US,Pennsylvania,39.892247,-75.505187,Traditional Pizza Place,0,25
Librettos Pizzeria,1600 E Woodlawn Rd,Charlotte,US,North Carolina,35.171735,-80.849272,Others,0,25
Pizza Inn,3005 National Parks Hwy,Carlsbad,US,New Mexico,32.3888,-104.2206,Restaurant and Pizza Place,0,25
Bells Greek Pizza,1135 East Grand River,East Lansing,US,Michigan,42.731339,-84.46811,Restaurant and Pizza Place,0,25
Casanova Family Italian Restaurant Pizzeria,338 McGuinness Blvd,Brooklyn,US,New York,40.734057,-73.952082,Others,0,25
Campisis Restaurant Downtown Dallas,1520 Elm St,Dallas,US,Texas,32.781522,-96.798556,Italian Restaurant,25,40
Pizza N Pasta Shakopee,584 Marschall Rd,Shakopee,US,Minnesota,44.794687,-93.508539,Others,0,25
Georges Pizza,726 W 181st St,New York,US,New York,40.850546,-73.937013,Restaurant and Pizza Place,0,25
Napoli Pizza,934 E Passyunk Ave,Philadelphia,US,Pennsylvania,39.937084,-75.154864,Others,0,25
Carbones Pizza Pub,14550 S Robert Trl,Rosemount,US,Minnesota,44.738678,-93.125876,Traditional Pizza Place,0,25
Tontis Pizza,17805 Cottonwood Dr,Parker,US,Colorado,39.558578,-104.782375,Others,0,25
Protos PizzaDenver,2401 15th St,Denver,US,Colorado,39.756797,-105.008937,Traditional Pizza Place,25,40
