name,address,city,country,province,latitude,longitude,categories,price_range_min,price_range_max
Papa Joes,1090 Montgomery Rd,Altamonte Springs,US,Florida,28.686584,-81.403849,Italian Restaurant,0,25
Bowzers Pizza,1330 Park St,Alameda,US,California,37.763389,-122.243626,American Restaurant,0,25
Il Vicino,321 W San Francisco St,Santa Fe,US,New Mexico,35.688306,-105.942629,Restaurant and Pizza Place,0,25
Bisbano's Pizza Parlor,1540 Johnston St,Lafayette,US,Louisiana,30.213724,-92.02302,American Restaurant,0,25
Bazbeaux Pizza,329 Massachusetts Ave,Indianapolis,US,Indiana,39.77139687,-86.15371764,Restaurant and Pizza Place,25,40
Papa Murphys,4698 S Whitnall Ave,Saint Francis,US,Wisconsin,42.960947,-87.879166,Restaurant and Pizza Place,0,25
zpizza,829 N Douglas St,El Segundo,US,California,33.927667,-118.383589,Restaurant and Pizza Place,25,40
A New York Slice,133 Browns Way Rd,Midlothian,US,Virginia,37.501901,-77.638267,Italian Restaurant,0,25
SLV Pizza Company,1210 8th St,Alamosa,US,Colorado,37.46426,-105.874387,Italian Restaurant,25,40
Specialty Pizza Express,1185 Spring Centre South Blvd,Altamonte Springs,US,Florida,28.687632,-81.392252,Traditional Pizza Place,0,25
Krazy Karls Pizza,1124 W Elizabeth St,Fort Collins,US,Colorado,40.575048,-105.097184,Restaurant and Pizza Place,0,25
Royal Kings Pizza,5211 5th Ave,Brooklyn,US,New York,40.6437,-74.01174,Italian Restaurant,0,25
Hungry Howies Pizza,30130 23 Mile Rd,New Baltimore,US,Michigan,42.674001,-82.805755,Restaurant and Pizza Place,25,40
Coburg Pizza Company,1710 Centennial Blvd,Springfield,US,Oregon,44.056504,-122.999237,Restaurant and Pizza Place,0,25
Adagios Lounge,2052 Silver Lake Rd NW,Saint Paul,US,Minnesota,45.084414,-93.219456,Others,0,25
Slice Of NY Pizza,1016 Shoppes At Midway Dr.,Raleigh,US,North Carolina,35.797972,-78.506541,Traditional Pizza Place,0,25
Carusos,1908 Fruitville Pike,Lancaster,US,Pennsylvania,40.074518,-76.321617,Traditional Pizza Place,0,25
Ball Park Pizza,30120 Town Center Dr,Laguna Niguel,US,California,33.525716,-117.713851,Restaurant and Pizza Place,0,25
Pronis,5001 Brainerd Rd,Chattanooga,US,Tennessee,35.012252,-85.225615,Traditional Pizza Place,0,25
Joe Squared Pizza Bar,33 W North Ave,Baltimore,US,Maryland,39.310817,-76.618073,Clubs,25,40
The Rock Wood Fired Pizza,17309 SE 270th Pl,Kent,US,Washington,47.359016,-122.110754,Others,0,25
Peppinos Pizzeria,384 College Ave,Clemson,US,South Carolina,34.684486,-82.836888,American Restaurant,0,25
Sals Famous NY Pizza,1204 Airline Blvd,Portsmouth,US,Virginia,36.828796,-76.345529,Italian Restaurant,25,40
Pizza On Dubuque,5 S Dubuque St,Iowa City,US,Iowa,41.660914,-91.533046,Restaurant and Pizza Place,0,25
Turonis ForGetMeNotInn,4 N Weinbach Ave,Evansville,US,Indiana,37.977367,-87.529583,Restaurant and Pizza Place,25,40
Slice of the 80s,34747 Warren Rd,Westland,US,Michigan,42.338678,-83.384055,Restaurant and Pizza Place,0,25
Vicinato Pizzeria,5080 Mayfield Rd,Cleveland,US,Ohio,41.519392,-81.496914,Italian Restaurant,0,25
